mot,nombre d'occurence
lappelait,1
volontiers,1
Votre,1
Grandeur,1
leva,1
fauteuil,1
bibliothèque,1
livre,2
rayons,1
den,1
atteindre,1
apportezmoi,1
grandeur,1
jusquà,1
planche,1
Une,4
parentes,1
éloignées,1
comtesse,1
Lô,2
rarement,1
échapper,1
dénumérer,1
présence,1
«les,1
espérances»,1
plusieurs,1
ascendants,1
proches,1
mort,5
naturellement,1
héritiers,1
jeune,2
recueillir,1
grandtante,1
bonnes,1
rentes,1
deuxième,1
substitué,1
duc,1
laîné,1
succéder,1
pairie,1
aïeul,1
écoutait,2
habituellement,1
innocents,1
pardonnables,1
étalages,1
maternels,1
pourtant,1
paraissait,1
rêveur,1
coutume,1
tandis,1
renouvelait,1
successions,1
«espérances»,1
sinterrompit,1
impatience,1
cousin,1
songezvous,1
songe,1
singulier,1
saint,2
Augustin,1
«Mettez,1
votre,1
espérance,1
auquel,1
succède,1
point»,1
autre,1
recevant,1
lettre,1
fairepart,1
décès,1
gentilhomme,1
sétalaient,1
page,1
outre,1
dignités,1
défunt,1
qualifications,1
féodales,1
nobiliaires,1
parents,1
dos,2
sécriatil,1
Quelle,1
admirable,2
titres,1
allègrement,1
aient,1
lesprit,1
employer,1
tombe,1
raillerie,1
contenait,1
sérieux,1
carême,1
vicaire,1
prêcha,1
cathédrale,3
éloquent,1
sujet,1
sermon,3
invita,1
déviter,1
lenfer,1
peignit,1
effroyable,1
gagner,1
paradis,2
désirable,1
charmant,1
lauditoire,1
riche,2
marchand,1
retiré,1
usurier,1
Géborand,3
demimillion,1
fabriquer,1
gros,2
draps,1
serges,1
cadis,1
gasquets,1
De,1
malheureux,3
partir,1
remarqua,1
dimanches,1
sou,2
mendiantes,1
portail,1
Elles,1
partager,1
vit,1
faisant,1
sourire,1
achète,1
sagissait,1
rebutait,1
devant,1
refus,1
alors,1
faisaient,1
réfléchir,1
quêtait,1
salon,2
marquis,3
Champtercier,1
avare,1
ensemble,1
ultraroyaliste,1
ultravoltairien,1
variété,1
existé,1
toucha,1
bras,1
donniez,1
répondit,1
sèchement,1
mes,2
Donnezlesmoi,1
«Mes,1
très,1
chers,1
frères,3
amis,1
treize,1
nont,4
ouvertures,2
dixsept,1
fenêtre,1
enfin,1
quarantesix,1
cabanes,1
ouverture,1
appelle,1
portes,1
fenêtres,1
Mettezmoi,1
petits,1
logislà,1
voyez,2
fièvres,1
maladies,1
Hélas,1
donne,1
loi,3
vend,1
naccuse,1
bénis,1
lIsère,1
Var,1
Alpes,2
hautes,1
basses,2
brouettes,1
transportent,1
engrais,1
dhommes,1
chandelles,1
brûlent,1
bâtons,1
résineux,1
bouts,1
corde,1
trempés,1
poix,1
résine,1
Dauphiné,2
pain,2
mois,1
cuire,1
bouse,1
vache,1
séchée,1
Lhiver,1
cassent,1
hache,1
tremper,1
vingtquatre,1
heures,1
pouvoir,1
mangerMes,1
ayez,1
pitié,1
souffre,1
vous»,1
Né,1
provençal,1
facilement,1
familiarisé,1
patois,1
«Eh,1
bé,1
moussu,1
sès,1
sagé»,1
Languedoc,1
«Onté,1
anaras,1
passa»,1
«Puerte,1
bouen,2
moutou,1
embe,1
froumage,1
grase»,1
Ceci,2
peuple,4
contribué,1
accès,1
esprits,1
chaumière,1
grandes,1
idiomes,1
vulgaires,1
Parlant,1
langues,1
entrait,1
condamnait,1
hâtivement,1
tenir,1
circonstances,1
environnantes,1
Voyons,1
chemin,1
faute,4
passé,1
Étant,1
qualifiait,1
souriant,3
expécheur,1
aucun,1
escarpements,1
rigorisme,1
professait,1
froncement,1
sourcil,1
vertueux,1
féroces,1
doctrine,1
résumer,1
«Lhomme,1
chair,1
fardeau,1
tentation,1
traîne,1
cède,1
«Il,1
surveiller,1
contenir,1
réprimer,1
obéir,1
dernière,1
extrémité,1
obéissancelà,1
vénielle,1
genoux,1
sachever,1
prière,1
«Être,1
lexception,1
règle,1
Errez,1
défaillez,1
péchez,1
soyez,1
justes,1
«Le,1
péché,6
possible,1
Pas,1
rêve,1
terrestre,1
soumis,1
gravitation»,1
voyait,2
sindigner,1
vite,1
oh,1
apparence,1
ceci,1
crime,1
commet,2
hypocrisies,1
effarées,1
dépêchent,1
protester,1
couvert,1
pèse,1
poids,1
humaine,1
fautes,1
serviteurs,1
faibles,1
forts,1
ignorent,1
enseignezleur,1
pourrez,1
coupable,2
linstruction,1
répond,1
nuit,2
produit,1
pleine,1
lombre,1
étrange,1
juger,2
soupçonne,1
pris,1
lévangile,1
entendit,1
conter,1
criminel,1
instruisait,1
misérable,2
amour,1
lenfant,1
delle,1
ressources,1
fausse,3
monnaie,2
punie,1
époque,1
arrêtée,1
émettant,1
pièce,1
fabriquée,1
tenait,1
preuves,1
pouvait,1
charger,1
amant,2
perdre,1
avouant,1
nia,1
insista,1
sobstina,1
nier,1
Sur,1
procureur,2
idée,1
supposé,1
infidélité,1
lamant,1
parvenu,1
fragments,1
savamment,1
présentés,1
persuader,1
malheureuse,1
rivale,1
trompait,1
exaspérée,1
jalousie,2
dénoncé,1
avoué,1
prouvé,1
Lhomme,1
perdu,1
prochainement,1
jugé,1
Aix,1
complice,1
racontait,1
sextasiait,1
lhabileté,1
magistrat,1
mettant,1
jeu,1
jaillir,1
vérité,1
colère,1
sortir,1
justice,1
vengeance,1
Où,1
jugeraton,2
dassises,1
aventure,1
tragique,1
condamné,4
meurtre,1
lettré,1
ignorant,2
bateleur,1
écrivain,1
public,1
veille,2
fixé,1
lexécution,1
laumônier,1
prison,2
tomba,1
fallait,1
assister,1
patient,2
derniers,1
moments,1
paraît,1
refusa,1
disant,1
nai,1
corvée,1
saltimbanque,1
aussi,2
dailleurs,1
rapporta,1
réponse,1
mienne,1
surlechamp,1
descendit,1
cabanon,1
«saltimbanque»,1
lappela,1
prit,1
parla,1
passa,1
journée,1
oubliant,1
nourriture,1
sommeil,1
priant,2
lâme,1
sienne,1
meilleures,1
vérités,1
bénir,1
enseigna,1
rassurant,1
consolant,1
mourir,1
désespéré,1
abîme,1
Debout,1
frémissant,1
seuil,1
lugubre,1
reculait,1
horreur,1
absolument,1
indifférent,1
condamnation,1
secousse,1
rompu,1
çà,1
cloison,1
sépare,1
mystère,1
appelons,1
cesse,1
dehors,1
brèches,1
fatales,1
ténèbres,1
suivit,1
montra,1
foule,1
camail,1
violet,1
croix,1
cou,1
côte,2
lié,1
cordes,1
monta,2
charrette,1
léchafaud,2
morne,1
accablé,1
rayonnant,1
sentait,1
réconciliée,1
espérait,1
lembrassa,1
couteau,1
tomber,1
Celui,1
tue,1
ressuscite,1
chassent,1
retrouve,1
Père,2
Priez,1
croyez,1
entrez,1
redescendit,1
ranger,1
pâleur,1
sérénité,1
rentrant,1
humble,1
viens,1
dofficier,1
pontificalement,1
sublimes,1
comprises,1
eut,1
dirent,1
commentant,1
conduite,1
«Cest,1
laffectation»,1
quun,1
nentend,1
malice,1
actions,1
attendri,1
admira,1
guillotine,1
choc,1
remettre,1
